ID;C1;C2;R1;R2;R3;R4;R5;R6;R7;M1;M2
192;22237;5928;2323;1114;4556;2778;7453;5019;3328;6603;702
193;21377;4060;3011;1004;4764;2635;7159;6344;3424;4171;694
194;19031;3488;3250;1427;4855;2641;6402;6337;3816;2557;610
195;17364;2341;3309;1427;4529;2759;5218;5989;3814;3992;624
196;14312;2410;3665;1289;4601;2717;4830;6130;4364;4325;671
197;11304;3183;3315;1381;3668;2700;4337;4831;4689;5008;734
198;9058;3921;2238;1409;3668;2751;4508;4162;5154;5691;746
199;10281;4850;1832;1409;3487;2877;4470;2316;5139;6357;756
200;11060;5244;1796;1529;3786;3018;4564;1130;5339;6283;770
201;10743;5616;1888;764;2980;3022;4299;904;5433;6101;777
202;10000;5899;1851;304;2989;2907;4792;631;5256;5648;694
203;9601;6092;2063;101;3143;2968;5170;659;5398;5771;674
204;9656;6210;1888;37;3361;2973;4830;866;5409;5275;658
205;9665;6118;1961;18;3524;2903;5123;697;5374;5749;692
206;9239;3498;2046;0;3650;2790;4763;706;4593;5648;655
207;9457;4735;2136;46;3605;2527;4839;998;4618;4853;616
208;9058;5424;3085;74;3967;2157;4583;1431;4997;5584;508
209;10190;6351;3241;258;4130;2071;4754;1761;5675;6064;339
210;11476;7052;3158;313;3786;1813;5133;2429;6398;6379;248
211;11893;7188;3085;414;3696;1692;5663;2495;6525;6555;239
212;12563;7101;3066;368;3469;1578;5814;2750;6488;7349;226
213;12998;7208;3269;488;2998;1571;6032;2844;6667;7781;159
214;14529;6877;2891;414;2572;1416;5975;2815;6344;7696;219
215;15969;6513;3134;387;2618;1338;6610;2750;5740;6880;204
216;16540;6588;3650;645;2491;1213;5748;3107;4770;6624;184
217;17473;5885;4144;543;2500;1150;3485;3013;4776;5557;186
218;18225;4357;4236;552;2219;1153;1875;2787;3672;5008;168
219;16286;2664;4375;543;1141;1088;1089;1723;1536;3261;200
220;12255;1339;4328;655;1069;1049;938;772;2081;1583;211
221;7935;2665;2781;773;1214;1143;1250;245;2969;2437;244
222;6069;3347;1731;718;1014;1284;1449;311;3613;3536;281
223;8043;3672;792;792;1304;1221;1818;330;4135;4357;368
224;8759;4098;976;626;1467;1315;1998;405;4081;4309;371
225;8768;4356;930;396;1532;1610;2301;565;4114;5264;485
226;8986;4453;1298;184;1576;1754;2794;669;4220;5717;539
227;8777;4553;1215;64;1667;1790;3040;753;4195;5771;676
228;9991;4447;1133;18;1929;1923;3210;669;3927;5963;701
229;9230;4157;1068;18;2129;2015;3750;753;3893;5445;836
230;8632;2613;847;9;2554;2026;3854;697;3623;4949;839
231;8424;3046;1023;37;2618;2045;3920;1036;3786;4227;849
232;7935;3576;1547;110;2672;2004;4271;1761;3846;4248;914
233;8315;4087;2228;249;2844;2021;4555;2090;3774;4333;989
234;8161;4157;2302;470;2708;1997;4716;2090;4006;4480;1118
235;7853;4397;2265;534;2781;2083;5199;2721;4216;4624;1088
236;8288;4504;2265;746;2935;2079;4820;3023;4411;5040;1146
237;9058;4584;2357;764;2935;2053;5606;2731;4617;5216;1015
238;10534;4699;1998;939;2998;2206;5313;2637;4989;5595;966
239;13170;3668;2192;967;3333;2258;6013;3136;5134;6000;919
240;14592;2730;2357;1280;3170;2095;6212;3258;5197;5904;845
241;14764;3846;2477;1639;3197;2239;6250;3418;5394;6309;804
242;13929;3348;2661;1924;4031;2244;6127;3277;4668;5845;839
243;12713;2829;2646;1989;3659;2402;6042;3644;4381;5184;827
244;11603;4035;3425;1915;4040;2371;5559;3682;4186;4741;813
245;9620;3641;3711;1906;3922;2249;5114;4096;445;4635;794
246;10163;3131;3610;1906;3768;2045;4991;3644;650;549;793
247;10245;3450;1538;1703;3569;2096;4545;2693;1303;2221;794
248;10045;3785;488;1657;2808;1933;4138;1168;1779;3357;779
249;10091;3998;350;810;2074;1874;3741;235;2167;4224;766
250;10172;3652;221;267;1630;1849;3608;132;2498;4173;777
251;10217;3622;239;157;1495;1662;4119;38;2721;4451;791
252;10072;3570;341;83;1803;1628;4432;38;2949;4549;850
253;9565;3622;285;46;2328;1595;4441;19;3040;4405;898
254;8931;1540;396;55;2092;1707;4252;56;2963;4413;940
255;8976;1933;589;28;2455;1550;4328;546;3226;3467;1062
256;8270;2870;1215;193;2219;1740;4138;1657;3672;3664;1003
257;7889;3502;1427;175;2301;1808;4271;2024;3998;3968;1055
